  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  3.6000e-13          130.55885035            0.00000000        6891.10368135         -144.20596108         6746.89772027 
  3.6500e-13          132.55237397            0.00000000        6996.32502770         -151.40469200         6844.92033569 
  3.7000e-13          134.52187348            0.00000000        7100.27834252         -142.98045397         6957.29788855 
  3.7500e-13          136.46266575            0.00000000        7202.71644384         -143.14627371         7059.57017013 
  3.8000e-13          138.37047762            0.00000000        7303.41378735         -143.89341135         7159.52037600 
  3.8500e-13          140.24138948    162250952.50643948        7402.16349008         -138.55683918         7263.60665090 
  3.9000e-13          142.06668394     90489909.18009104        7498.50543321         -146.98337337         7351.52205984 
  3.9500e-13          143.84867001     67247234.10022984        7592.56149110         -137.36441084         7455.19708026 
  4.0000e-13          145.58376506     70315978.06753927        7684.14256633         -141.10207104         7543.04049529 
  4.0500e-13          147.26584778    167389069.39914611        7772.92556659         -152.12303371         7620.80253288 
  4.1000e-13          148.88970166            0.00000000        7858.63515574         -143.64784550         7714.98731023 
  4.1500e-13          150.45106880            0.00000000        7941.04659541         -133.47723933         7807.56935608 
  4.2000e-13          151.94436037            0.00000000        8019.86489867         -140.06900249         7879.79589619 
  4.2500e-13          153.36359403     68692374.87635957        8094.77430746         -150.77157448         7944.00273298 
  4.3000e-13          154.70236091     72339582.47498570        8165.43655167         -147.91893695         8017.51761472 
  4.3500e-13          155.95633793    123012077.21094005        8231.62345261         -151.31032471         8080.31312790 
  4.4000e-13          157.12109680     60231302.43741061        8293.10127722         -144.87782041         8148.22345681 
  4.4500e-13          158.18837156    214194537.32508332        8349.43373584         -154.98714461         8194.44659124 
  4.5000e-13          159.15504332    243095590.36341333        8400.45620810         -143.20158620         8257.25462190 
  4.5500e-13          160.01988392    234654923.17298466        8446.10386976         -142.61149776         8303.49237199 
  4.6000e-13          160.78248768    130316999.80557504        8486.35530890         -135.08942205         8351.26588685 
  4.6500e-13          161.44128515    416698410.03725135        8521.12768653         -141.56592184         8379.56176470 
  4.7000e-13          162.00104861    189391590.72474238        8550.67289194         -153.68790865         8396.98498329 
  4.7500e-13          162.46989662    223901740.35114643        8575.41943529         -139.76323249         8435.65620280 
  4.8000e-13          162.85240222    131682038.91607782        8595.60868889         -144.02081879         8451.58787010 
  4.8500e-13          163.15702476     92528517.61979567        8611.68715110         -148.74914447         8462.93800663 
  4.9000e-13          163.39915182    110139263.65797678        8624.46700193         -149.27466660         8475.19233533 
  4.9500e-13          163.58967225    162480427.42133510        8634.52297298         -139.32280839         8495.20016459 
  5.0000e-13          163.73757003    196293930.08400592        8642.32925328         -144.49054524         8497.83870804 
  5.0500e-13          163.85341514    396916454.10727590        8648.44374198         -152.02281362         8496.42092836 
  5.1000e-13          163.94561509    350422768.41744101        8653.31020217         -142.90117251         8510.40902966 
  5.1500e-13          164.01723887    342394933.44477218        8657.09061887         -146.41758622         8510.67303265 
  5.2000e-13          164.06313265    153753813.75082773        8659.51296601         -144.50926961         8515.00369640 
  5.2500e-13          164.08586361    452235516.14987129        8660.71274176         -147.34400814         8513.36873362 
  5.3000e-13          164.08153799    209607341.44965205        8660.48442867         -146.18645077         8514.29797790 
  5.3500e-13          164.05016645    171667742.97352535        8658.82858897         -134.07429154         8524.75429743 
  5.4000e-13          163.99215780     53172580.42381781        8655.76680040         -125.70917849         8530.05762191 
  5.4500e-13          163.91043327     55978473.92136570        8651.45324978         -139.77080318         8511.68244660 
  5.5000e-13          163.80804182    140846457.77685955        8646.04886641         -150.48058500         8495.56828141 
  5.5500e-13          163.69001556    322281155.50734144        8639.81925278         -156.89946913         8482.91978365 
  5.6000e-13          163.55938026    134607107.65397391        8632.92411355         -139.45447451         8493.46963904 
  5.6500e-13          163.41435958    168593919.82385683        8625.26969186         -138.63667287         8486.63301899 
  5.7000e-13          163.25323371    212262062.71592626        8616.76521239         -143.20491645         8473.56029594 
  5.7500e-13          163.07009069    222860646.87453777        8607.09863237         -141.88652180         8465.21211057 
  5.8000e-13          162.85942674    274135161.20877200        8595.97945445         -148.16125931         8447.81819513 
  5.8500e-13          162.62389230    111868566.49965088        8583.54757193         -160.78016194         8422.76740999 
  5.9000e-13          162.36530578    330708377.94532752        8569.89896458         -149.27622855         8420.62273604 
  5.9500e-13          162.08282012    220954950.28400904        8554.98892196         -140.89487634         8414.09404562 
  6.0000e-13          161.78442617    294547436.05742854        8539.23921499         -144.70367639         8394.53553860 
  6.0500e-13          161.47423920    352728984.20577228        8522.86705373         -140.13997406         8382.72707967 
  6.1000e-13          161.16285713    334578335.58600968        8506.43181326         -149.78805127         8356.64376199 
  6.1500e-13          160.85851157    216604012.40297785        8490.36797055         -142.46383832         8347.90413223 
  6.2000e-13          160.56229092    477540210.64608419        8474.73297379         -145.17449988         8329.55847390 
  6.2500e-13          160.27781787    377117442.11372054        8459.71803371         -134.47763362         8325.24040009 
  6.3000e-13          160.00513257    494751240.07091784        8445.32527045         -153.68714881         8291.63812164 
  6.3500e-13          159.75483890    336756506.52051997        8432.11437241         -150.06880379         8282.04556862 
  6.4000e-13          159.52061498    274860696.52935350        8419.75166169         -143.39710233         8276.35455936 
  6.4500e-13          159.30138554    224051633.40313417        8408.18038315         -140.66151911         8267.51886404 
  6.5000e-13          159.09363133    288398599.03076810        8397.21478592         -147.34880548         8249.86598044 
  6.5500e-13          158.90157945    350699658.37298459        8387.07798209         -137.63910922         8249.43887287 
  6.6000e-13          158.71935494    398465978.52580506        8377.45988270         -141.30021318         8236.15966952 
  6.6500e-13          158.55067869    388006589.16447413        8368.55688201         -143.52386232         8225.03301968 
  6.7000e-13          158.39654387    181977768.81160140        8360.42140143         -138.52215093         8221.89925050 
